trial, query, width, q_bit, ftr_on, nc1, nc2, recall@1, recall@30, filtering, 1st(sec), 2nd(sec), kNN(sec), ave(ms/q), stdev(ms/q), min(ms/q), max(ms/q)
1, 0, 26, 3, SSD, 140000, 10, 70.7600, 70.5600, 7.4506, 0.6183, 5.4452, 5.6403, 1.3091, 0.9029, 0.7903, 35.7696 
2, 0, 26, 3, SSD, 140000, 10, 70.7600, 70.5800, 7.1651, 0.5560, 5.2500, 5.5668, 1.2732, 0.7412, 0.7948, 35.8150 
3, 0, 26, 3, SSD, 120000, 15, 70.3100, 70.1300, 6.7121, 0.5206, 4.8272, 6.6276, 1.3340, 0.7426, 0.9084, 30.5540 
4, 0, 26, 3, SSD, 120000, 15, 70.3100, 70.0800, 6.7767, 0.5156, 4.8898, 6.6055, 1.3382, 0.7295, 0.8650, 29.6679 
5, 0, 26, 3, SSD, 110000, 30, 70.0700, 69.8400, 6.7455, 0.5594, 4.8219, 10.7476, 1.7493, 0.8316, 1.2536, 32.0812 
6, 0, 26, 3, SSD, 110000, 30, 70.0700, 69.8300, 6.7502, 0.5722, 4.8135, 10.8554, 1.7606, 0.8228, 1.2569, 24.8967 
7, 0, 26, 3, SSD, 310000, 10, 80.0200, 79.8000, 11.5084, 0.9246, 9.2027, 5.4706, 1.6979, 0.7731, 1.0401, 31.2536 
8, 0, 26, 3, SSD, 310000, 10, 80.0300, 79.8200, 11.5904, 0.9197, 9.2816, 5.5375, 1.7128, 0.7048, 1.0880, 34.9698 
9, 0, 26, 3, SSD, 260000, 15, 80.2800, 80.0700, 10.2364, 0.8066, 8.0409, 6.6433, 1.6880, 0.7290, 1.0971, 24.2237 
10, 0, 26, 3, SSD, 260000, 15, 80.2800, 80.1000, 10.1940, 0.7364, 8.0719, 6.6485, 1.6842, 0.7165, 1.1256, 31.2265 
11, 0, 26, 3, SSD, 240000, 20, 80.1300, 79.8800, 9.8927, 0.7451, 7.7624, 8.7642, 1.8657, 0.7346, 1.2688, 30.1730 
12, 0, 26, 3, SSD, 240000, 20, 80.1200, 79.9100, 9.8533, 0.7217, 7.7460, 8.8164, 1.8670, 0.7600, 1.2364, 23.1231 
13, 0, 26, 3, SSD, 800000, 20, 90.0800, 89.8500, 24.0043, 2.0195, 20.5661, 9.0300, 3.3034, 1.1302, 2.0610, 41.5646 
14, 0, 26, 3, SSD, 800000, 20, 90.1000, 89.8600, 24.1720, 2.1404, 20.6110, 9.0569, 3.3229, 1.2165, 2.0668, 43.9398 
15, 0, 26, 3, SSD, 670000, 30, 90.0800, 89.8500, 21.0406, 1.6844, 17.9305, 11.3467, 3.2387, 1.0718, 2.0886, 25.8568 
16, 0, 26, 3, SSD, 670000, 30, 90.0900, 89.8600, 20.6109, 1.6512, 17.5445, 11.2533, 3.1864, 1.0168, 2.1072, 32.3825 
17, 0, 26, 3, SSD, 620000, 40, 90.0800, 89.8700, 19.6643, 1.5945, 16.6547, 14.3992, 3.4064, 1.0374, 2.3251, 37.4384 
18, 0, 26, 3, SSD, 620000, 40, 90.0800, 89.8500, 19.4176, 1.5270, 16.4798, 14.3966, 3.3814, 0.9977, 2.3563, 27.5876 
